connaître,to know,meet,disclose,,,,
contre,against,to,,,,,
cours,during,lessons,classes,course,,,
deal,deal,,,,,,
déjà,already,yet,before,again,,,
des,some,from,'s,,,,
élevé,raised,lifted,elevated,high,steep,,
entreprise,company,business,firm,enterprise,undertaking,,
état,state,condition,,,,,
Facebook,Facebook,,,,,,
France,France,,,,,,
gardes,guard,watch,,,,,
grande,tall,big,large,grand,wide,high,great
hommes,men,male,,,,,
indiqué,indicated,shown,pointed out,revealed,,,
intention,intention,intent,,
jamais,never,ever,,
Jo,Olympic Games,,,
jours,days,,,
judiciaires,judicial,legal,,
la,the,,,
leur,their,,,
lors,during,while,even though,
majorité,majority,most,,
médailles,medals,medallions,,
mercredi,Wednesday,,,
n,does not ,,,
notamment,especially,particularly,notably,in particular
obtenues,obtained,,,
ois,ois,,,
